phase,epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
0,1,0.9258599008544016,0.7457578589518865,0.7355542037523212,0.6246185490295686,"{0: 0.8117647058823529, 1: 0.6835820895522388, 2: 0.5453474676089517, 3: 0.5909090909090909, 4: 0.3333333333333333, 6: 0.5209424083769634, 7: 0.6666666666666666, 8: 0.546875, 10: 0.5267149258876249, 11: 0.630259623992838, 12: 0.7857142857142857, 13: 0.6269349845201239, 14: 0.6961325966850829, 15: 0.5431654676258992, 17: 0.6839887640449438, 18: 0.6781292984869326, 19: 0.4917431192660551, 20: 0.5147107438016529, 21: 0.5733333333333334, 23: 0.6479338842975206, 24: 0.5935483870967742, 25: nan, 26: 1.0, 27: 0.7543859649122807, 28: 0.5956416464891041, 29: 0.6336283185840708, 30: 0.5329795299469295, 31: 0.9142857142857143, 32: 0.3684210526315789, 33: 0.5, 34: 0.6853658536585366, 35: 0.6190476190476191, 36: 0.6923076923076923}"
0,2,0.8611378836429725,0.7136884868144989,0.7487801754498303,0.6427293063963375,"{0: 0.8, 1: 0.6708955223880597, 2: 0.6018845700824499, 3: 0.5653409090909091, 4: 0.26666666666666666, 6: 0.506544502617801, 7: 0.8333333333333334, 8: 0.515625, 10: 0.5453291968286798, 11: 0.6101163831692032, 12: 0.7857142857142857, 13: 0.7260061919504643, 14: 0.7569060773480663, 15: 0.5935251798561151, 17: 0.7612359550561798, 18: 0.6189821182943603, 19: 0.5480122324159021, 20: 0.5487603305785124, 21: 0.6, 23: 0.6457300275482094, 24: 0.5483870967741935, 25: nan, 26: 1.0, 27: 0.8421052631578947, 28: 0.5932203389830508, 29: 0.6123893805309735, 30: 0.5731614859742229, 31: 0.9142857142857143, 32: 0.34210526315789475, 33: 0.36666666666666664, 34: 0.7597560975609756, 35: 0.6428571428571429, 36: 0.8717948717948718}"
0,3,0.8299528623031358,0.6971907883882522,0.7525773195876289,0.6227128391201011,"{0: 0.7764705882352941, 1: 0.655223880597015, 2: 0.5547703180212014, 3: 0.5085227272727273, 4: 0.3333333333333333, 6: 0.5392670157068062, 7: 0.75, 8: 0.5208333333333334, 10: 0.5470527404343329, 11: 0.61727842435094, 12: 0.7857142857142857, 13: 0.7291021671826625, 14: 0.7679558011049724, 15: 0.5899280575539568, 17: 0.7556179775280899, 18: 0.609353507565337, 19: 0.5308868501529052, 20: 0.5566942148760331, 21: 0.6133333333333333, 23: 0.6198347107438017, 24: 0.5838709677419355, 25: nan, 26: 1.0, 27: 0.7719298245614035, 28: 0.6101694915254238, 29: 0.6224188790560472, 30: 0.5291887793783169, 31: 0.8, 32: 0.3157894736842105, 33: 0.3, 34: 0.5707317073170731, 35: 0.6666666666666666, 36: 0.7948717948717948}"
0,4,0.8086317403841827,0.6772281954685847,0.7478388935134789,0.6182612491580336,"{0: 0.8235294117647058, 1: 0.6761194029850747, 2: 0.5382803297997645, 3: 0.5454545454545454, 4: 0.13333333333333333, 6: 0.5104712041884817, 7: 0.75, 8: 0.4791666666666667, 10: 0.5494657014822475, 11: 0.6410026857654432, 12: 0.7142857142857143, 13: 0.6873065015479877, 14: 0.7016574585635359, 15: 0.5971223021582733, 17: 0.6980337078651685, 18: 0.6341127922971114, 19: 0.5608562691131499, 20: 0.5646280991735537, 21: 0.5466666666666666, 23: 0.656198347107438, 24: 0.5806451612903226, 25: nan, 26: 1.0, 27: 0.6842105263157895, 28: 0.5472154963680388, 29: 0.6525073746312684, 30: 0.5815011372251706, 31: 0.9142857142857143, 32: 0.34210526315789475, 33: 0.3333333333333333, 34: 0.6317073170731707, 35: 0.7142857142857143, 36: 0.7948717948717948}"
0,5,0.7720490641007989,0.6720173537731171,0.7436431452903887,0.6197961036876849,"{0: 0.8235294117647058, 1: 0.6447761194029851, 2: 0.4734982332155477, 3: 0.5596590909090909, 4: 0.2, 6: 0.574607329842932, 7: 0.9166666666666666, 8: 0.5677083333333334, 10: 0.5677352637021716, 11: 0.6418979409131602, 12: 0.7857142857142857, 13: 0.7260061919504643, 14: 0.7679558011049724, 15: 0.5935251798561151, 17: 0.7879213483146067, 18: 0.6492434662998624, 19: 0.5773700305810398, 20: 0.5857851239669422, 21: 0.56, 23: 0.6242424242424243, 24: 0.5645161290322581, 25: nan, 26: 1.0, 27: 0.5964912280701754, 28: 0.585956416464891, 29: 0.5811209439528023, 30: 0.6148597422289613, 31: 0.8, 32: 0.23684210526315788, 33: 0.4, 34: 0.6317073170731707, 35: 0.47619047619047616, 36: 0.717948717948718}"
0,6,0.7581571618379173,0.6595806340376537,0.7494733303451367,0.6309730736667729,"{0: 0.9176470588235294, 1: 0.6865671641791045, 2: 0.4923439340400471, 3: 0.5369318181818182, 4: 0.3333333333333333, 6: 0.5667539267015707, 7: 0.75, 8: 0.5, 10: 0.5477421578765943, 11: 0.6347358997314234, 12: 0.8571428571428571, 13: 0.7708978328173375, 14: 0.7513812154696132, 15: 0.60431654676259, 17: 0.7584269662921348, 18: 0.6258596973865199, 19: 0.5694189602446483, 20: 0.5547107438016529, 21: 0.49333333333333335, 23: 0.6600550964187328, 24: 0.6225806451612903, 25: nan, 26: 1.0, 27: 0.6842105263157895, 28: 0.6077481840193705, 29: 0.6247787610619469, 30: 0.5481425322213799, 31: 0.9428571428571428, 32: 0.42105263157894735, 33: 0.3333333333333333, 34: 0.5292682926829269, 35: 0.5476190476190477, 36: 0.717948717948718}"
0,7,0.7290164757583101,0.6494712173938751,0.7481062303899597,0.5972498721996683,"{0: 0.8588235294117647, 1: 0.6738805970149254, 2: 0.5176678445229682, 3: 0.53125, 4: 0.0, 6: 0.506544502617801, 7: 0.75, 8: 0.5260416666666666, 10: 0.5001723543605653, 11: 0.666965085049239, 12: 0.7142857142857143, 13: 0.7445820433436533, 14: 0.7403314917127072, 15: 0.6007194244604317, 17: 0.7415730337078652, 18: 0.6038514442916093, 19: 0.5785932721712538, 20: 0.564297520661157, 21: 0.5466666666666666, 23: 0.6418732782369146, 24: 0.6129032258064516, 25: nan, 26: 1.0, 27: 0.5263157894736842, 28: 0.6222760290556901, 29: 0.6129793510324484, 30: 0.6209249431387415, 31: 0.8, 32: 0.34210526315789475, 33: 0.3333333333333333, 34: 0.5414634146341464, 35: 0.47619047619047616, 36: 0.6153846153846154}"
0,8,0.7104389417474553,0.6544819881518682,0.751854549529359,0.6063107459815701,"{0: 0.9294117647058824, 1: 0.6574626865671642, 2: 0.49528857479387517, 3: 0.5909090909090909, 4: 0.06666666666666667, 6: 0.5327225130890052, 7: 0.75, 8: 0.5, 10: 0.5153395380903136, 11: 0.6002685765443151, 12: 0.6428571428571429, 13: 0.8018575851393189, 14: 0.8011049723756906, 15: 0.5827338129496403, 17: 0.7429775280898876, 18: 0.6588720770288858, 19: 0.5920489296636086, 20: 0.552396694214876, 21: 0.5333333333333333, 23: 0.6044077134986225, 24: 0.5580645161290323, 25: nan, 26: 1.0, 27: 0.5964912280701754, 28: 0.6368038740920097, 29: 0.6283185840707964, 30: 0.6550416982562547, 31: 0.7714285714285715, 32: 0.39473684210526316, 33: 0.23333333333333334, 34: 0.5829268292682926, 35: 0.47619047619047616, 36: 0.717948717948718}"
0,9,0.6785959679696519,0.6540800203879674,0.7402686175321764,0.592260576100194,"{0: 0.9058823529411765, 1: 0.6514925373134328, 2: 0.4093050647820966, 3: 0.5255681818181818, 4: 0.13333333333333333, 6: 0.48429319371727747, 7: 0.8333333333333334, 8: 0.4635416666666667, 10: 0.4843157531885557, 11: 0.6535362578334826, 12: 0.7142857142857143, 13: 0.7770897832817337, 14: 0.7403314917127072, 15: 0.60431654676259, 17: 0.7191011235955056, 18: 0.6327372764786795, 19: 0.5162079510703363, 20: 0.5451239669421487, 21: 0.4, 23: 0.6016528925619835, 24: 0.5774193548387097, 25: nan, 26: 1.0, 27: 0.6491228070175439, 28: 0.6295399515738499, 29: 0.6525073746312684, 30: 0.6194086429112965, 31: 0.7142857142857143, 32: 0.3684210526315789, 33: 0.23333333333333334, 34: 0.6743902439024391, 35: 0.5, 36: 0.5384615384615384}"
0,10,0.6530665767900015,0.6613505115111669,0.7450918870461677,0.5961494835698943,"{0: 0.9411764705882353, 1: 0.6067164179104477, 2: 0.49352179034157834, 3: 0.4943181818181818, 4: 0.13333333333333333, 6: 0.5510471204188482, 7: 0.75, 8: 0.4895833333333333, 10: 0.546018614270941, 11: 0.6786034019695614, 12: 0.42857142857142855, 13: 0.7708978328173375, 14: 0.712707182320442, 15: 0.5935251798561151, 17: 0.6896067415730337, 18: 0.5997248968363136, 19: 0.5253822629969419, 20: 0.572892561983471, 21: 0.5066666666666667, 23: 0.5410468319559228, 24: 0.5870967741935483, 25: nan, 26: 1.0, 27: 0.6666666666666666, 28: 0.6440677966101694, 29: 0.6300884955752213, 30: 0.6588324488248674, 31: 0.9142857142857143, 32: 0.3684210526315789, 33: 0.26666666666666666, 34: 0.6548780487804878, 35: 0.5476190476190477, 36: 0.5128205128205128}"
