epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,0.3965972326695919,0.8191504577795664,0.49638756562060987,0.5420592626306764,"{0: 0.6557377049180327, 1: 0.574585635359116, 2: 0.46414455110107283, 3: 0.4660633484162896, 4: 0.21428571428571427, 6: 0.5681137724550899, 7: 0.631578947368421, 8: 0.5077399380804953, 10: 0.45912653975363943, 11: 0.5971615720524017, 12: 0.3684210526315789, 13: 0.4812182741116751, 14: 0.8197424892703863, 15: 0.31893004115226337, 17: 0.5776053215077606, 18: 0.6948798328108673, 19: 0.47746478873239434, 20: 0.5489443378119002, 21: 0.6222222222222222, 23: 0.5541516245487365, 24: 0.46630727762803237, 25: 1.0, 26: 0.7247706422018348, 27: 0.611764705882353, 28: 0.5477272727272727, 29: 0.5391828533154722, 30: 0.530327868852459, 31: nan, 32: 0.4639175257731959, 33: 0.42857142857142855, 34: 0.5009765625, 35: 0.4418604651162791, 36: 0.4883720930232558}"
2,0.27168040613041206,0.8178488294283549,0.4755775896280581,0.5402555531876658,"{0: 0.5901639344262295, 1: 0.555939226519337, 2: 0.5279503105590062, 3: 0.6108597285067874, 4: 0.7142857142857143, 6: 0.5508982035928144, 7: 0.42105263157894735, 8: 0.4582043343653251, 10: 0.45315416200074654, 11: 0.5616812227074236, 12: 0.3157894736842105, 13: 0.5522842639593909, 14: 0.8283261802575107, 15: 0.5555555555555556, 17: 0.5543237250554324, 18: 0.6635318704284221, 19: 0.46619718309859154, 20: 0.5412667946257198, 21: 0.6, 23: 0.5944645006016848, 24: 0.5202156334231806, 25: 0.14285714285714285, 26: 0.7431192660550459, 27: 0.7058823529411765, 28: 0.5568181818181818, 29: 0.5418620227729404, 30: 0.5, 31: nan, 32: 0.5979381443298969, 33: 0.38095238095238093, 34: 0.505859375, 35: 0.5348837209302325, 36: 0.4418604651162791}"
3,0.2065028778332121,0.816960996389389,0.5039315780181708,0.5856811337105696,"{0: 0.6065573770491803, 1: 0.5600828729281768, 2: 0.5759457933370977, 3: 0.5972850678733032, 4: 0.8571428571428571, 6: 0.562874251497006, 7: 0.42105263157894735, 8: 0.44891640866873067, 10: 0.46808510638297873, 11: 0.5709606986899564, 12: 0.631578947368421, 13: 0.6030456852791878, 14: 0.8197424892703863, 15: 0.34156378600823045, 17: 0.4955654101995565, 18: 0.677115987460815, 19: 0.5150234741784038, 20: 0.6233205374280231, 21: 0.5888888888888889, 23: 0.6179302045728039, 24: 0.5283018867924528, 25: 0.75, 26: 0.8073394495412844, 27: 0.7058823529411765, 28: 0.5386363636363637, 29: 0.6021433355659745, 30: 0.5024590163934426, 31: nan, 32: 0.5463917525773195, 33: 0.38095238095238093, 34: 0.564453125, 35: 0.5348837209302325, 36: 0.6976744186046512}"
4,0.1674608112696339,0.7177855630715688,0.5224622799380122,0.5982666378212971,"{0: 0.5081967213114754, 1: 0.5656077348066298, 2: 0.5657820440429137, 3: 0.5429864253393665, 4: 0.5, 6: 0.5523952095808383, 7: 0.5789473684210527, 8: 0.5201238390092879, 10: 0.5154908547965659, 11: 0.5633187772925764, 12: 0.7368421052631579, 13: 0.7309644670050761, 14: 0.8154506437768241, 15: 0.6152263374485597, 17: 0.5421286031042128, 18: 0.7471264367816092, 19: 0.5948356807511737, 20: 0.5772552783109405, 21: 0.5333333333333333, 23: 0.6793020457280385, 24: 0.5390835579514824, 25: 0.9642857142857143, 26: 0.7614678899082569, 27: 0.7764705882352941, 28: 0.44772727272727275, 29: 0.5840589417280643, 30: 0.5385245901639344, 31: nan, 32: 0.4020618556701031, 33: 0.3333333333333333, 34: 0.6494140625, 35: 0.4186046511627907, 36: 0.7441860465116279}"
5,-0.11677645711118684,0.8341330428918202,0.5102314583581682,0.575952846518381,"{0: 0.4918032786885246, 1: 0.6001381215469613, 2: 0.6290231507622812, 3: 0.5882352941176471, 4: 0.42857142857142855, 6: 0.532185628742515, 7: 0.47368421052631576, 8: 0.4953560371517028, 10: 0.5072788353863382, 11: 0.5513100436681223, 12: 0.7368421052631579, 13: 0.6710659898477157, 14: 0.8583690987124464, 15: 0.35390946502057613, 17: 0.5787139689578714, 18: 0.741901776384535, 19: 0.5563380281690141, 20: 0.5614203454894434, 21: 0.6222222222222222, 23: 0.6371841155234657, 24: 0.5390835579514824, 25: 0.9285714285714286, 26: 0.7155963302752294, 27: 0.6588235294117647, 28: 0.5363636363636364, 29: 0.5405224380442063, 30: 0.5008196721311475, 31: nan, 32: 0.38144329896907214, 33: 0.42857142857142855, 34: 0.6083984375, 35: 0.37209302325581395, 36: 0.6046511627906976}"
6,0.14246725384145975,0.9405531922976176,0.4887658421242442,0.5720946597775144,"{0: 0.45901639344262296, 1: 0.5897790055248618, 2: 0.5138339920948617, 3: 0.5520361990950227, 4: 0.5714285714285714, 6: 0.5239520958083832, 7: 0.3684210526315789, 8: 0.4891640866873065, 10: 0.4833893243747667, 11: 0.5665938864628821, 12: 0.7368421052631579, 13: 0.5756345177664974, 14: 0.8326180257510729, 15: 0.3888888888888889, 17: 0.5997782705099778, 18: 0.6948798328108673, 19: 0.507981220657277, 20: 0.5782149712092131, 21: 0.6777777777777778, 23: 0.5577617328519856, 24: 0.4716981132075472, 25: 0.9642857142857143, 26: 0.8165137614678899, 27: 0.6705882352941176, 28: 0.5522727272727272, 29: 0.5726724715338245, 30: 0.48770491803278687, 31: nan, 32: 0.4639175257731959, 33: 0.5714285714285714, 34: 0.4912109375, 35: 0.3488372093023256, 36: 0.627906976744186}"
7,0.13870519947479754,0.8337867061297098,0.522584505161375,0.5710281302628606,"{0: 0.4262295081967213, 1: 0.4979281767955801, 2: 0.49858836815358554, 3: 0.49321266968325794, 4: 0.35714285714285715, 6: 0.4752994011976048, 7: 0.42105263157894735, 8: 0.4179566563467492, 10: 0.4490481522956327, 11: 0.5949781659388647, 12: 0.7894736842105263, 13: 0.6538071065989848, 14: 0.7939914163090128, 15: 0.4506172839506173, 17: 0.6008869179600886, 18: 0.5977011494252874, 19: 0.5380281690140845, 20: 0.5820537428023033, 21: 0.6666666666666666, 23: 0.6504211793020457, 24: 0.46630727762803237, 25: 1.0, 26: 0.7064220183486238, 27: 0.6941176470588235, 28: 0.5, 29: 0.6329537843268587, 30: 0.5295081967213114, 31: nan, 32: 0.5979381443298969, 33: 0.5714285714285714, 34: 0.619140625, 35: 0.4418604651162791, 36: 0.5581395348837209}"
8,0.1435757282683078,0.7885461737712224,0.5351752121211206,0.5885899433283195,"{0: 0.29508196721311475, 1: 0.6332872928176796, 2: 0.5313382269904009, 3: 0.5294117647058824, 4: 0.35714285714285715, 6: 0.5074850299401198, 7: 0.3684210526315789, 8: 0.44272445820433437, 10: 0.5106382978723404, 11: 0.6222707423580786, 12: 0.9473684210526315, 13: 0.6934010152284263, 14: 0.8412017167381974, 15: 0.360082304526749, 17: 0.5842572062084257, 18: 0.6750261233019854, 19: 0.5784037558685446, 20: 0.5892514395393474, 21: 0.6555555555555556, 23: 0.6666666666666666, 24: 0.5363881401617251, 25: 1.0, 26: 0.8073394495412844, 27: 0.6941176470588235, 28: 0.4954545454545455, 29: 0.5994641661085064, 30: 0.5860655737704918, 31: nan, 32: 0.4536082474226804, 33: 0.7142857142857143, 34: 0.62890625, 35: 0.37209302325581395, 36: 0.5581395348837209}"
9,-0.34496390523717685,0.8868755400180817,0.5176607902992405,0.5894870134422028,"{0: 0.5081967213114754, 1: 0.5607734806629834, 2: 0.4313946922642575, 3: 0.6108597285067874, 4: 0.5, 6: 0.5172155688622755, 7: 0.5263157894736842, 8: 0.5232198142414861, 10: 0.5233296005972378, 11: 0.5824235807860262, 12: 0.7894736842105263, 13: 0.6629441624365482, 14: 0.8497854077253219, 15: 0.40329218106995884, 17: 0.5997782705099778, 18: 0.7084639498432602, 19: 0.5507042253521127, 20: 0.5671785028790787, 21: 0.7222222222222222, 23: 0.6209386281588448, 24: 0.5094339622641509, 25: 0.5714285714285714, 26: 0.7981651376146789, 27: 0.6235294117647059, 28: 0.5, 29: 0.6363027461486939, 30: 0.5122950819672131, 31: nan, 32: 0.7422680412371134, 33: 0.7142857142857143, 34: 0.66015625, 35: 0.3488372093023256, 36: 0.4883720930232558}"
10,0.07359504036824494,0.8048763751983643,0.5167750346682037,0.5949164184245374,"{0: 0.5245901639344263, 1: 0.5718232044198895, 2: 0.4426877470355731, 3: 0.6063348416289592, 4: 0.5, 6: 0.5142215568862275, 7: 0.5263157894736842, 8: 0.5108359133126935, 10: 0.45912653975363943, 11: 0.5769650655021834, 12: 0.7368421052631579, 13: 0.6619289340101523, 14: 0.8583690987124464, 15: 0.42592592592592593, 17: 0.5487804878048781, 18: 0.7251828631138976, 19: 0.5267605633802817, 20: 0.5906909788867563, 21: 0.7, 23: 0.631768953068592, 24: 0.49865229110512127, 25: 0.9642857142857143, 26: 0.8256880733944955, 27: 0.7058823529411765, 28: 0.5181818181818182, 29: 0.5961152042866711, 30: 0.5483606557377049, 31: nan, 32: 0.5567010309278351, 33: 0.7142857142857143, 34: 0.6328125, 35: 0.32558139534883723, 36: 0.5116279069767442}"
