epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,0.9101226521750628,0.6763403743505478,0.6917573797784465,0.6038968039363423,"{0: 0.6352941176470588, 1: 0.7007462686567164, 2: 0.5129564193168433, 3: 0.6477272727272727, 4: 0.3333333333333333, 6: 0.3887434554973822, 7: 0.8333333333333334, 8: 0.5520833333333334, 10: 0.5263702171664943, 11: 0.5452103849597135, 12: 0.8571428571428571, 13: 0.5495356037151703, 14: 0.585635359116022, 15: 0.5, 17: 0.625, 18: 0.6547455295735901, 19: 0.4990825688073395, 20: 0.5176859504132232, 21: 0.6, 23: 0.6639118457300276, 24: 0.5580645161290323, 25: nan, 26: 1.0, 27: 0.6140350877192983, 28: 0.5205811138014528, 29: 0.5445427728613569, 30: 0.5322213798332069, 31: 0.9428571428571428, 32: 0.21052631578947367, 33: 0.5666666666666667, 34: 0.6414634146341464, 35: 0.6190476190476191, 36: 0.8461538461538461}"
2,0.7788191990832151,0.5957412948211034,0.7127489274508548,0.6102537467152671,"{0: 0.611764705882353, 1: 0.65, 2: 0.5041224970553593, 3: 0.6193181818181818, 4: 0.3333333333333333, 6: 0.38089005235602097, 7: 1.0, 8: 0.5520833333333334, 10: 0.5456739055498104, 11: 0.5290957923008057, 12: 0.7142857142857143, 13: 0.6656346749226006, 14: 0.5966850828729282, 15: 0.5, 17: 0.6825842696629213, 18: 0.6341127922971114, 19: 0.5614678899082569, 20: 0.5375206611570248, 21: 0.56, 23: 0.6617079889807163, 24: 0.5612903225806452, 25: nan, 26: 1.0, 27: 0.7017543859649122, 28: 0.5690072639225182, 29: 0.5581120943952802, 30: 0.5246398786959818, 31: 0.9142857142857143, 32: 0.3157894736842105, 33: 0.5333333333333333, 34: 0.6158536585365854, 35: 0.5476190476190477, 36: 0.8461538461538461}"
3,0.7122824719901812,0.5532204329967498,0.7073685727092272,0.5868341991635645,"{0: 0.6, 1: 0.6328358208955224, 2: 0.5153121319199058, 3: 0.6079545454545454, 4: 0.26666666666666666, 6: 0.36518324607329844, 7: 0.8333333333333334, 8: 0.5104166666666666, 10: 0.5163736642537056, 11: 0.5461056401074306, 12: 0.7142857142857143, 13: 0.6625386996904025, 14: 0.6353591160220995, 15: 0.5, 17: 0.672752808988764, 18: 0.5653370013755158, 19: 0.5474006116207951, 20: 0.5067768595041322, 21: 0.5866666666666667, 23: 0.6391184573002755, 24: 0.5741935483870968, 25: nan, 26: 1.0, 27: 0.45614035087719296, 28: 0.5907990314769975, 29: 0.584070796460177, 30: 0.45716451857467777, 31: 0.9428571428571428, 32: 0.3157894736842105, 33: 0.43333333333333335, 34: 0.5585365853658537, 35: 0.5952380952380952, 36: 0.8461538461538461}"
4,0.6692180876004494,0.5328564027945201,0.7059662547224179,0.5962268554387771,"{0: 0.7529411764705882, 1: 0.6171641791044776, 2: 0.46937573616018846, 3: 0.6363636363636364, 4: 0.3333333333333333, 6: 0.5039267015706806, 7: 0.8333333333333334, 8: 0.515625, 10: 0.5394691485694588, 11: 0.5846016114592659, 12: 0.5714285714285714, 13: 0.6625386996904025, 14: 0.6298342541436464, 15: 0.5, 17: 0.6601123595505618, 18: 0.6795048143053645, 19: 0.5480122324159021, 20: 0.5332231404958677, 21: 0.5333333333333333, 23: 0.6060606060606061, 24: 0.6129032258064516, 25: nan, 26: 1.0, 27: 0.45614035087719296, 28: 0.6174334140435835, 29: 0.5876106194690266, 30: 0.4981046247156937, 31: 1.0, 32: 0.3684210526315789, 33: 0.4, 34: 0.4878048780487805, 35: 0.5714285714285714, 36: 0.7692307692307693}"
5,0.6235118995783693,0.536102972428004,0.6992844336300186,0.6031446944705614,"{0: 0.7529411764705882, 1: 0.6216417910447761, 2: 0.48881036513545345, 3: 0.5880681818181818, 4: 0.26666666666666666, 6: 0.5340314136125655, 7: 1.0, 8: 0.5052083333333334, 10: 0.5274043433298863, 11: 0.5980304386750224, 12: 0.7857142857142857, 13: 0.7244582043343654, 14: 0.6132596685082873, 15: 0.5, 17: 0.7345505617977528, 18: 0.6478679504814305, 19: 0.5614678899082569, 20: 0.5484297520661157, 21: 0.5733333333333334, 23: 0.6325068870523416, 24: 0.6, 25: nan, 26: 1.0, 27: 0.45614035087719296, 28: 0.6246973365617433, 29: 0.5469026548672566, 30: 0.4988627748294162, 31: 0.8857142857142857, 32: 0.34210526315789475, 33: 0.5666666666666667, 34: 0.4524390243902439, 35: 0.40476190476190477, 36: 0.717948717948718}"
6,0.6100681492332685,0.5078325718641281,0.7079032464621886,0.5924533651765627,"{0: 0.7529411764705882, 1: 0.6253731343283582, 2: 0.450530035335689, 3: 0.6164772727272727, 4: 0.3333333333333333, 6: 0.5143979057591623, 7: 1.0, 8: 0.453125, 10: 0.5180972078593589, 11: 0.5613249776186213, 12: 0.7857142857142857, 13: 0.7291021671826625, 14: 0.6408839779005525, 15: 0.5, 17: 0.7148876404494382, 18: 0.6066024759284732, 19: 0.5339449541284403, 20: 0.536198347107438, 21: 0.5466666666666666, 23: 0.6435261707988981, 24: 0.6064516129032258, 25: nan, 26: 1.0, 27: 0.40350877192982454, 28: 0.5932203389830508, 29: 0.5433628318584071, 30: 0.44351781652767247, 31: 0.8857142857142857, 32: 0.42105263157894735, 33: 0.36666666666666664, 34: 0.4853658536585366, 35: 0.42857142857142855, 36: 0.717948717948718}"
7,0.5722738570075924,0.533638506134351,0.6994301082154063,0.5869250647701932,"{0: 0.788235294117647, 1: 0.6149253731343284, 2: 0.4169611307420495, 3: 0.6079545454545454, 4: 0.2, 6: 0.5, 7: 1.0, 8: 0.4895833333333333, 10: 0.5332643915891072, 11: 0.6029543419874664, 12: 0.7142857142857143, 13: 0.7445820433436533, 14: 0.47513812154696133, 15: 0.5, 17: 0.6671348314606742, 18: 0.6808803301237965, 19: 0.6152905198776758, 20: 0.5176859504132232, 21: 0.48, 23: 0.5823691460055096, 24: 0.6193548387096774, 25: nan, 26: 1.0, 27: 0.40350877192982454, 28: 0.5907990314769975, 29: 0.5681415929203539, 30: 0.4799090219863533, 31: 0.8, 32: 0.39473684210526316, 33: 0.5333333333333333, 34: 0.4902439024390244, 35: 0.4523809523809524, 36: 0.717948717948718}"
8,0.5626031251276954,0.5190849284331004,0.7083818915284625,0.6028566227575745,"{0: 0.8352941176470589, 1: 0.6074626865671642, 2: 0.47644287396937574, 3: 0.59375, 4: 0.3333333333333333, 6: 0.5759162303664922, 7: 1.0, 8: 0.4791666666666667, 10: 0.4653567735263702, 11: 0.5165622202327663, 12: 0.6428571428571429, 13: 0.7430340557275542, 14: 0.6519337016574586, 15: 0.5, 17: 0.723314606741573, 18: 0.6643741403026134, 19: 0.6244648318042814, 20: 0.5616528925619835, 21: 0.56, 23: 0.6110192837465565, 24: 0.5516129032258065, 25: nan, 26: 1.0, 27: 0.47368421052631576, 28: 0.5956416464891041, 29: 0.5952802359882006, 30: 0.5200909780136467, 31: 0.7714285714285715, 32: 0.39473684210526316, 33: 0.4666666666666667, 34: 0.5621951219512196, 35: 0.47619047619047616, 36: 0.717948717948718}"
9,0.5300031885252161,0.5269860655069352,0.7059086252161106,0.6058927286978721,"{0: 0.8235294117647058, 1: 0.6119402985074627, 2: 0.48527679623085984, 3: 0.5426136363636364, 4: 0.3333333333333333, 6: 0.5392670157068062, 7: 1.0, 8: 0.4739583333333333, 10: 0.47638745260255083, 11: 0.535810205908684, 12: 0.7857142857142857, 13: 0.7631578947368421, 14: 0.5303867403314917, 15: 0.5, 17: 0.7092696629213483, 18: 0.6492434662998624, 19: 0.6214067278287462, 20: 0.5514049586776859, 21: 0.52, 23: 0.5873278236914601, 24: 0.6903225806451613, 25: nan, 26: 1.0, 27: 0.5087719298245614, 28: 0.6368038740920097, 29: 0.5769911504424778, 30: 0.5276724791508719, 31: 0.8, 32: 0.39473684210526316, 33: 0.4666666666666667, 34: 0.5560975609756098, 35: 0.5238095238095238, 36: 0.6666666666666666}"
10,-0.0013837773243294044,0.5153703371683757,0.685744701287059,0.6024262707295754,"{0: 0.7647058823529411, 1: 0.6283582089552239, 2: 0.45641931684334514, 3: 0.5539772727272727, 4: 0.4, 6: 0.6020942408376964, 7: 1.0, 8: 0.5104166666666666, 10: 0.47087211306446053, 11: 0.5850492390331244, 12: 0.7142857142857143, 13: 0.7383900928792569, 14: 0.6629834254143646, 15: 0.5, 17: 0.723314606741573, 18: 0.6341127922971114, 19: 0.581651376146789, 20: 0.5289256198347108, 21: 0.4666666666666667, 23: 0.5977961432506887, 24: 0.7193548387096774, 25: nan, 26: 1.0, 27: 0.43859649122807015, 28: 0.6029055690072639, 29: 0.5787610619469027, 30: 0.555724033358605, 31: 0.7714285714285715, 32: 0.42105263157894735, 33: 0.4666666666666667, 34: 0.5353658536585366, 35: 0.4523809523809524, 36: 0.6153846153846154}"
