Cancer_Type,C_index
ACC,0.6132075471698113
BLCA,0.5363317964178046
BRCA,0.596760555440726
CESC,0.5341534153415342
CHOL,0.5367892976588629
COAD,0.5085429603901344
DLBC,0.5914893617021276
ESCA,0.4317060503765256
GBM,0.5101872212490527
HNSC,0.5405668811279
KICH,0.48878923766816146
KIRC,0.5280839895013123
KIRP,0.5430699481865285
LAML,0.5429812834224599
LGG,0.7191796630287843
LIHC,0.4884181205101891
LUAD,0.5223232809413951
LUSC,0.4764135014902145
MESO,0.546987087517934
OV,0.5131184066933431
PAAD,0.5370600414078675
PCPG,0.6594871794871795
PRAD,0.4961439588688946
READ,0.39989706639217704
SARC,0.547804473902237
SKCM,0.5116946071500706
STAD,0.4604711351817681
TGCT,0.34017595307917886
THCA,0.4200401472064236
THYM,0.5559322033898305
UCEC,0.6199381645426438
UCS,0.47038019451812557
UVM,0.5803747534516766
