Cancer_Type,C_index
ACC,0.6428571428571429
BLCA,0.4987714987714988
BRCA,0.5605095541401274
CESC,0.5254237288135594
CHOL,0.0
COAD,0.5161290322580645
DLBC,0.7777777777777778
ESCA,0.3950617283950617
GBM,0.4584837545126354
HNSC,0.5706134094151213
KICH,1.0
KIRC,0.6097560975609756
KIRP,0.7534246575342466
LAML,0.5642857142857143
LGG,0.8163265306122449
LIHC,0.5489690721649485
LUAD,0.5714285714285714
LUSC,0.4780564263322884
MESO,0.5238095238095238
OV,0.525
PAAD,0.6039603960396039
PCPG,0.9841269841269841
PRAD,0.7222222222222222
READ,0.6285714285714286
SARC,0.47770700636942676
SKCM,0.4722838137472284
STAD,0.43026706231454004
TGCT,
THCA,0.8428571428571429
THYM,1.0
UCEC,0.7839506172839507
UCS,0.6153846153846154
UVM,0.5
