fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,13,0.6877363741397857,0.7268225124904087,0.762183961771841,0.6903166438142458,0.7474597068382304,0.8233380717310038,0.7431343217482446,0.10335288,1.4065791,-0.21515122
2,26,0.6646689812342326,0.7199111008330396,0.77088806393565,0.6646689812342326,0.7706215364988239,0.8251659922740039,0.7360163292274293,0.96500844,1.4262079,-0.17568488
3,24,0.7211378862460455,0.7249116972925957,0.7715325605531387,0.7356907735268275,0.7564526677376138,0.7644618103901545,0.7416932371203222,1.433477,1.6809322,-0.21236539
4,35,0.7469218254089356,0.7188807822259745,0.7811282439518427,0.7469218254089356,0.7627695382672299,0.7111406622059417,0.7513073598896941,1.045021,1.5049614,-0.16284285
5,19,0.7753741989533106,0.7191665924357292,0.7698709205811431,0.7780578374862671,0.7382654371567992,0.7410334230146625,0.7500817105443504,-0.009914398,1.2794223,-0.134326
6,29,0.673900697628657,0.712525577305403,0.7769087553698976,0.6753914068142574,0.7741588854305618,0.8283524032343518,0.744051663871955,2.4063625,1.5371006,-0.14759871
7,23,0.6926046113173167,0.7308829788969697,0.7648950607848335,0.7011714994907379,0.7710766721044046,0.7735345180739056,0.7686089931918625,0.17828593,0.9196227,-0.2083929
8,29,0.7392490362127622,0.7308363218168566,0.7692986172306552,0.7392490362127622,0.763119648764351,0.7330335687958833,0.7392824235655452,0.7586111,1.4813024,-0.19623704
9,25,0.7042790204286575,0.7245286972002876,0.7689363649449175,0.7042790204286575,0.7565598140790943,0.759311062448165,0.7429132908465853,1.0002179,1.4099537,-0.17419559
10,48,0.690251176059246,0.6757763380506882,0.8042932359489641,0.70280954738458,0.7480463614113395,0.868585234338587,0.7394499224596476,0.40997374,1.7230672,-0.20021245
