Cancer_Type,C_index
ACC,0.75
BLCA,0.515970515970516
BRCA,0.4607218683651805
CESC,0.3559322033898305
CHOL,0.25
COAD,0.5219941348973607
DLBC,0.4444444444444444
ESCA,0.35802469135802467
GBM,0.5126353790613718
HNSC,0.5777460770328102
KICH,0.75
KIRC,0.5052264808362369
KIRP,0.8904109589041096
LAML,0.5214285714285715
LGG,0.8221574344023324
LIHC,0.47164948453608246
LUAD,0.46938775510204084
LUSC,0.54858934169279
MESO,0.5714285714285714
OV,0.38333333333333336
PAAD,0.5544554455445545
PCPG,0.4603174603174603
PRAD,0.8333333333333334
READ,0.5428571428571428
SARC,0.6178343949044586
SKCM,0.43680709534368073
STAD,0.5845697329376854
TGCT,
THCA,0.4714285714285714
THYM,0.9
UCEC,0.6172839506172839
UCS,0.5384615384615384
UVM,0.5
