gen_image,batch,exp,avg_c_index,se_c_index,model
genetics_and_image,all_batch,cancertypebatching_exp_0_phase2_10,0.565272707946895,0.00940245724179904,genetics_and_image_all_batch_cancertypebatching_exp_0_phase2_10
genetics_and_image,all_batch,cancertypebatching_exp_1_phase2_0,0.568114379381514,0.011120897693997678,genetics_and_image_all_batch_cancertypebatching_exp_1_phase2_0
genetics_and_image,ct_batch,cancertypebatching_exp_0_warmup_0,0.5699416307102498,0.014199564376020416,genetics_and_image_ct_batch_cancertypebatching_exp_0_warmup_0
genetics_and_image,ct_batch,cancertypebatching_exp_1_warmup_10,0.5626565181838209,0.015320453423486325,genetics_and_image_ct_batch_cancertypebatching_exp_1_warmup_10
layer_norm_fusion_mlp,improved,cancertypebatching_exp_0_phase2_10,0.5986890387697242,0.013779290600221565,layer_norm_fusion_mlp_improved_cancertypebatching_exp_0_phase2_10
layer_norm_fusion_mlp,improved,cancertypebatching_exp_1_phase2_0,0.5892261654537626,0.011079766149284775,layer_norm_fusion_mlp_improved_cancertypebatching_exp_1_phase2_0
layer_norm_fusion_mlp_lowerlr,improved,cancertypebatching_exp_0_phase2_10,0.5956094665295923,0.010368437044346349,layer_norm_fusion_mlp_lowerlr_improved_cancertypebatching_exp_0_phase2_10
layer_norm_fusion_mlp_lowerlr,improved,cancertypebatching_exp_1_phase2_0,0.5914017579379022,0.011239268775395656,layer_norm_fusion_mlp_lowerlr_improved_cancertypebatching_exp_1_phase2_0
only_genetics,all_batch,cancertypebatching_exp_0_phase2_10,0.5203056081475042,0.012892081537669957,only_genetics_all_batch_cancertypebatching_exp_0_phase2_10
only_genetics,all_batch,cancertypebatching_exp_1_phase2_0,0.5296881298618622,0.01712499522674892,only_genetics_all_batch_cancertypebatching_exp_1_phase2_0
only_genetics,ct_batch,cancertypebatching_exp_0_warmup_0,0.5226164238168604,0.011641438339143372,only_genetics_ct_batch_cancertypebatching_exp_0_warmup_0
only_genetics,ct_batch,cancertypebatching_exp_1_warmup_10,0.5026486252094334,0.010776263680359388,only_genetics_ct_batch_cancertypebatching_exp_1_warmup_10
only_image,all_batch,cancertypebatching_exp_0_phase2_10,0.5675039393356164,0.009536417413801974,only_image_all_batch_cancertypebatching_exp_0_phase2_10
only_image,all_batch,cancertypebatching_exp_1_phase2_0,0.5703310711990098,0.00950717950390388,only_image_all_batch_cancertypebatching_exp_1_phase2_0
only_image,ct_batch,cancertypebatching_exp_0_warmup_0,0.5641159905976774,0.015110329003982098,only_image_ct_batch_cancertypebatching_exp_0_warmup_0
only_image,ct_batch,cancertypebatching_exp_1_warmup_10,0.5679589327970529,0.010158546095674523,only_image_ct_batch_cancertypebatching_exp_1_warmup_10
