fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,31,0.18779274821281433,0.4209294074908235,0.7677933296744487,0.18779274821281433,0.7339059494594415,0.48345740636189777,0.7382947628443911,47.094666,6.223343,-0.17753772
2,53,0.10216854413350424,0.31406998522299573,0.7860398752782854,0.15423566500345867,0.7699238528086751,0.45673389995799346,0.7389706923403653,46.988865,10.218072,-0.068394035
3,54,0.2619008262952169,0.31894053412733897,0.7785633256302513,0.2619008262952169,0.75381445524563,0.46120193826429773,0.7310370867595234,41.569214,20.706745,-0.11520094
4,22,0.47137677470843,0.42409044862689826,0.7617284998504423,0.47137677470843,0.7505226758551344,0.2692004225470803,0.7536278186006625,47.28994,7.532511,-0.10149149
5,38,0.4760031223297119,0.4186171815359503,0.7714439458726076,0.4760031223297119,0.7136191862242715,0.5677563313281897,0.7293878562316152,46.472084,12.359806,-0.03643953
6,33,0.3249565601348877,0.35109343183668035,0.7675649439585779,0.4618096470832825,0.7751660670735815,0.8320768457470518,0.7474957590453329,44.404293,16.68403,-0.07789136
7,20,-0.1099295973777771,0.29831576704532464,0.7614964504288703,-0.1099295973777771,0.7655693311582382,0.596135983412916,0.7656332676540398,46.493145,10.043404,-0.18199128
8,53,0.5683800081411997,0.4197104492581877,0.777318608489453,0.777626383304596,0.7538918077446974,0.5321716160485239,0.7457266508446182,45.522568,15.615452,-0.13205689
9,49,0.5421038405348857,0.36550663512452203,0.7809981566576083,0.5421038405348857,0.7407461504505206,0.4640842202831717,0.7331125228684586,44.516273,10.674523,-0.15228547
10,50,0.3936186855038007,0.3254211742178838,0.7818081897661423,0.3936186855038007,0.7455684936586813,0.6127994159857432,0.7471339056664847,47.09284,5.8044915,-0.13014075
