fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,25,-2.7910646279652913,-2.133128677095686,0.6834199178038132,-2.7910646279652913,0.6709856072162897,-0.11810302914995136,0.6661048808932147,36.527725,25.473824,-0.117418505
2,28,-2.081281276543935,-2.3052575104218676,0.6231963775094365,-2.081281276543935,0.6141211178886098,-0.25330015929306254,0.6214875643022323,40.866272,23.340801,-0.13439049
3,30,-2.5144615372021994,-2.3395117187544647,0.6342229279410987,-2.5144615372021994,0.6280533103058549,-0.2696285019769813,0.6186965094814566,38.96089,24.995752,-0.10728458
4,69,-1.8820085227489471,-2.759302358430131,0.6941698535997447,-1.8820085227489471,0.6470543153712685,0.416433238621914,0.6639958971599603,36.79112,27.4454,-0.103544295
5,19,-1.8059685707092286,-2.274777214778097,0.6731995757809935,-1.8059685707092286,0.647510609414556,0.011560887098312378,0.6451785507185256,40.368103,22.046545,-0.05870835
6,25,-1.7734815377179378,-2.3035469052935005,0.6797269460425076,-1.7734815377179378,0.6948778581726559,0.410587211449941,0.6629919874066867,40.775337,24.078144,-0.09475987
7,24,-2.4506258348623913,-2.211911892790473,0.6357665583768525,-2.4506258348623913,0.5752854812398043,0.04855448007583618,0.6124224572790631,37.788536,24.820633,-0.15970963
8,44,-1.5262529969215393,-2.3454191415829766,0.6734544897670257,-1.5262529969215393,0.6214760897061685,-0.005129725644082734,0.6486500069803155,38.73103,24.885664,-0.12667964
9,30,-2.358156144618988,-2.2644789227865694,0.6421164381301192,-2.358156144618988,0.6148210900781594,-0.2337845528826994,0.6230850807181199,38.719917,24.531212,-0.15283984
10,22,-1.9385570208231608,-2.2626682802250513,0.6262304485276647,-1.9385570208231608,0.610462333038911,0.045503031123768196,0.6450825889298465,40.50041,22.600986,-0.14218307
