Cancer_Type,C_index
ACC,0.7025819265143992
BLCA,0.5277088136194361
BRCA,0.5699468235028843
CESC,0.573057305730573
CHOL,0.48494983277591974
COAD,0.5111567203452269
DLBC,0.5531914893617021
ESCA,0.4231368475720592
GBM,0.5432832668679264
HNSC,0.5280069760966102
KICH,0.47533632286995514
KIRC,0.5385019180294771
KIRP,0.538050518134715
LAML,0.5418449197860963
LGG,0.7216525437699891
LIHC,0.5439085178126375
LUAD,0.5075517418798028
LUSC,0.5013580772562435
MESO,0.5487804878048781
OV,0.5062219595004244
PAAD,0.5528985507246377
PCPG,0.7005128205128205
PRAD,0.5557840616966581
READ,0.43386515697375194
SARC,0.5355426677713339
SKCM,0.5454453645728136
STAD,0.48345275467900023
TGCT,0.16422287390029325
THCA,0.5567079290732686
THYM,0.5305084745762711
UCEC,0.5917351632606892
UCS,0.4916003536693192
UVM,0.5034516765285996
