fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,14,0.19951768120129904,0.44657879216330393,0.754943797764069,0.19951768120129904,0.7297771439941633,0.5835376300595023,0.7342326826459864,42.982994,12.2886305,-0.1240811
2,51,0.14956911404927573,0.3704486357090168,0.7808682544139174,0.14956911404927573,0.7636978564499196,0.4803131582105861,0.7365614233800557,47.27879,6.354353,-0.101597995
3,33,0.44536728064219155,0.31584076443861486,0.7690038690509527,0.4822955330212911,0.7611290660537293,0.4451327378099615,0.7453222017116966,47.949924,5.7037525,-0.17955573
4,23,0.47705316146214805,0.3416895629992162,0.7672229245868658,0.47705316146214805,0.7514270123786809,0.275857661709641,0.7564891571802503,46.228767,6.7382092,-0.12756267
5,29,0.4477437734603882,0.24737836723040818,0.7721320572024142,0.4477437734603882,0.7324501326941186,0.5500801765557491,0.7528809556443535,45.096897,13.283017,-0.036748454
6,43,0.31715751240650814,0.3098717376701814,0.7735898052505803,0.3173502653837204,0.778827627093523,0.8029814543146075,0.7368994832635063,46.176422,10.493595,-0.106202945
7,39,-0.11817691127459208,0.26435493753197487,0.7626704306890367,-0.10272250076134999,0.7706231647634584,0.6446581150997769,0.7536522558569636,46.17092,11.723999,-0.18829207
8,37,0.5704812049865723,0.37543784698149313,0.7701736242091202,0.5704812049865723,0.7446791690990465,0.46984702890569513,0.741842803294709,48.92033,1.7566124,-0.18294145
9,35,0.5459791421890259,0.33568041609194044,0.7746267568655092,0.562040826678276,0.7496267300251876,0.39800910257241306,0.7432098269033593,47.612175,6.832345,-0.21402158
10,35,0.39794861574967705,0.38234542500703855,0.7720378817627948,0.43050341407457987,0.7482182950921362,0.6750718996380315,0.7468053857934479,47.628666,11.560704,-0.15255572
