epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,-0.019442343915579842,-0.0587089357431978,0.5128056678085874,0.5536380137046526,"{0: 0.6631578947368421, 1: 0.3859303090072321, 2: 0.5043263288009888, 3: 0.608540925266904, 4: 0.7931034482758621, 6: 0.558974358974359, 7: 0.8571428571428571, 8: 0.5045871559633027, 10: 0.5004854368932039, 11: 0.5851239669421487, 12: nan, 13: 0.5924404272801972, 14: 0.19327731092436976, 15: 0.5899122807017544, 17: 0.7144469525959368, 18: 0.5050847457627119, 19: 0.5504087193460491, 20: 0.49356617647058826, 21: 0.5217391304347826, 23: 0.47805035506778565, 24: 0.5380116959064327, 25: 0.9642857142857143, 26: 0.9148936170212766, 27: 0.21333333333333335, 28: 0.4720357941834452, 29: 0.3974201474201474, 30: 0.5690376569037657, 31: nan, 32: nan, 33: 0.55, 34: 0.6968888888888889, 35: 0.5625, 36: 0.13043478260869565}"
2,-0.02782405704880754,-0.06190282671013847,0.5561346948160327,0.5776420473400995,"{0: 0.7157894736842105, 1: 0.4174884944115713, 2: 0.43510506798516685, 3: 0.5195729537366548, 4: 0.7931034482758621, 6: 0.5846153846153846, 7: 0.5714285714285714, 8: 0.5, 10: 0.5077669902912622, 11: 0.48044077134986224, 12: nan, 13: 0.5382087099424815, 14: 0.47058823529411764, 15: 0.5570175438596491, 17: 0.5191873589164786, 18: 0.5672316384180791, 19: 0.5286103542234333, 20: 0.4453125, 21: 0.5362318840579711, 23: 0.5200129115558425, 24: 0.5964912280701754, 25: 0.9642857142857143, 26: 0.851063829787234, 27: 0.4666666666666667, 28: 0.4988814317673378, 29: 0.4069410319410319, 30: 0.5665271966527197, 31: nan, 32: nan, 33: 0.85, 34: 0.6693333333333333, 35: 0.46875, 36: 0.782608695652174}"
3,-0.025192278375228246,-0.06338369805598632,0.5456969548596695,0.5790982168560485,"{0: 0.7263157894736842, 1: 0.4188034188034188, 2: 0.44561186650185414, 3: 0.5693950177935944, 4: 0.6896551724137931, 6: 0.576068376068376, 7: 0.7142857142857143, 8: 0.46788990825688076, 10: 0.5019417475728155, 11: 0.5134986225895317, 12: nan, 13: 0.5554642563681184, 14: 0.2857142857142857, 15: 0.5855263157894737, 17: 0.5620767494356659, 18: 0.559322033898305, 19: 0.5258855585831063, 20: 0.46369485294117646, 21: 0.5217391304347826, 23: 0.4954809554551323, 24: 0.5584795321637427, 25: 0.9642857142857143, 26: 0.9148936170212766, 27: 0.4666666666666667, 28: 0.49217002237136465, 29: 0.41093366093366096, 30: 0.5841004184100418, 31: nan, 32: nan, 33: 0.85, 34: 0.6826666666666666, 35: 0.53125, 36: 0.7391304347826086}"
4,-0.019950065311665335,-0.06469702205504291,0.5828402562622305,0.5801776587502901,"{0: 0.7473684210526316, 1: 0.4707429322813938, 2: 0.42088998763906055, 3: 0.5338078291814946, 4: 0.5172413793103449, 6: 0.6170940170940171, 7: 0.7142857142857143, 8: 0.44036697247706424, 10: 0.5121359223300971, 11: 0.4672176308539945, 12: nan, 13: 0.5398520953163517, 14: 0.5882352941176471, 15: 0.5942982456140351, 17: 0.5158013544018059, 18: 0.5683615819209039, 19: 0.5422343324250681, 20: 0.46989889705882354, 21: 0.5797101449275363, 23: 0.48902517753389285, 24: 0.564327485380117, 25: 0.8928571428571429, 26: 0.8829787234042553, 27: 0.49333333333333335, 28: 0.5078299776286354, 29: 0.4514742014742015, 30: 0.5430962343096234, 31: nan, 32: nan, 33: 0.85, 34: 0.6897777777777778, 35: 0.375, 36: 0.8260869565217391}"
5,-0.025501195170606176,-0.06600468952092342,0.552495546178315,0.5840451647168757,"{0: 0.7684210526315789, 1: 0.4516765285996055, 2: 0.43448702101359704, 3: 0.5338078291814946, 4: 0.5862068965517241, 6: 0.5837606837606838, 7: 0.7142857142857143, 8: 0.44954128440366975, 10: 0.5053398058252427, 11: 0.4716253443526171, 12: nan, 13: 0.5480690221857025, 14: 0.5882352941176471, 15: 0.5723684210526315, 17: 0.5530474040632054, 18: 0.5627118644067797, 19: 0.5435967302452316, 20: 0.46277573529411764, 21: 0.5507246376811594, 23: 0.49935442220787607, 24: 0.564327485380117, 25: 0.9285714285714286, 26: 0.8936170212765957, 27: 0.4533333333333333, 28: 0.4988814317673378, 29: 0.43304668304668303, 30: 0.5506276150627615, 31: nan, 32: nan, 33: 0.9, 34: 0.6675555555555556, 35: 0.46875, 36: 0.782608695652174}"
6,-0.02619891967624426,-0.06739611500233877,0.5630565209408191,0.586828027893368,"{0: 0.8105263157894737, 1: 0.46646942800788954, 2: 0.4394313967861557, 3: 0.5302491103202847, 4: 0.6551724137931034, 6: 0.6170940170940171, 7: 0.7142857142857143, 8: 0.43119266055045874, 10: 0.5048543689320388, 11: 0.45895316804407715, 12: nan, 13: 0.5402629416598193, 14: 0.5462184873949579, 15: 0.5394736842105263, 17: 0.5316027088036117, 18: 0.5502824858757062, 19: 0.5433242506811989, 20: 0.4724264705882353, 21: 0.5797101449275363, 23: 0.49806326662362815, 24: 0.5526315789473685, 25: 0.9285714285714286, 26: 0.8829787234042553, 27: 0.48, 28: 0.5212527964205816, 29: 0.46007371007371006, 30: 0.5380753138075314, 31: nan, 32: nan, 33: 0.9, 34: 0.6915555555555556, 35: 0.4375, 36: 0.782608695652174}"
7,-0.025319497764576225,-0.0688360244857904,0.5536468404746111,0.5815091371350768,"{0: 0.8105263157894737, 1: 0.4457593688362919, 2: 0.4542645241038319, 3: 0.501779359430605, 4: 0.7241379310344828, 6: 0.5675213675213675, 7: 0.5714285714285714, 8: 0.44495412844036697, 10: 0.49854368932038834, 11: 0.4765840220385675, 12: nan, 13: 0.5349219391947412, 14: 0.3697478991596639, 15: 0.5548245614035088, 17: 0.5564334085778782, 18: 0.5389830508474577, 19: 0.5482288828337875, 20: 0.46920955882352944, 21: 0.5652173913043478, 23: 0.5083925112976113, 24: 0.5467836257309941, 25: 1.0, 26: 0.925531914893617, 27: 0.48, 28: 0.4988814317673378, 29: 0.43243243243243246, 30: 0.5615062761506276, 31: nan, 32: nan, 33: 0.95, 34: 0.6817777777777778, 35: 0.53125, 36: 0.6956521739130435}"
8,-0.027078949411710105,-0.0702248532033991,0.5549693401727273,0.5787630563381411,"{0: 0.7894736842105263, 1: 0.43852728468113084, 2: 0.45859085290482077, 3: 0.5622775800711743, 4: 0.4827586206896552, 6: 0.6358974358974359, 7: 0.7142857142857143, 8: 0.41284403669724773, 10: 0.5004854368932039, 11: 0.49476584022038567, 12: nan, 13: 0.610517666392769, 14: 0.31932773109243695, 15: 0.5679824561403509, 17: 0.5914221218961625, 18: 0.5220338983050847, 19: 0.5264305177111717, 20: 0.5018382352941176, 21: 0.6086956521739131, 23: 0.5083925112976113, 24: 0.5116959064327485, 25: 1.0, 26: 0.8404255319148937, 27: 0.5333333333333333, 28: 0.4966442953020134, 29: 0.4305896805896806, 30: 0.5489539748953974, 31: nan, 32: nan, 33: 1.0, 34: 0.6337777777777778, 35: 0.46875, 36: 0.6521739130434783}"
9,-0.032617987816532454,-0.07181980673340149,0.5616157489119773,0.5826358285692114,"{0: 0.7578947368421053, 1: 0.49506903353057197, 2: 0.43757725587144625, 3: 0.5302491103202847, 4: 0.5862068965517241, 6: 0.6188034188034188, 7: 0.8571428571428571, 8: 0.38990825688073394, 10: 0.5058252427184466, 11: 0.46391184573002753, 12: nan, 13: 0.6055875102711585, 14: 0.42016806722689076, 15: 0.5635964912280702, 17: 0.5440180586907449, 18: 0.5502824858757062, 19: 0.5433242506811989, 20: 0.4912683823529412, 21: 0.5507246376811594, 23: 0.5032278889606198, 24: 0.49707602339181284, 25: 1.0, 26: 0.8191489361702128, 27: 0.48, 28: 0.45861297539149887, 29: 0.4398034398034398, 30: 0.5573221757322175, 31: nan, 32: nan, 33: 1.0, 34: 0.6044444444444445, 35: 0.46875, 36: 0.7391304347826086}"
10,-0.026165313102925816,-0.07323948945850134,0.5455017641600101,0.5705874377504991,"{0: 0.8105263157894737, 1: 0.443129520052597, 2: 0.4641532756489493, 3: 0.4128113879003559, 4: 0.3793103448275862, 6: 0.5641025641025641, 7: 0.7142857142857143, 8: 0.41284403669724773, 10: 0.4878640776699029, 11: 0.4462809917355372, 12: nan, 13: 0.5324568611339359, 14: 0.3949579831932773, 15: 0.5263157894736842, 17: 0.5620767494356659, 18: 0.5209039548022599, 19: 0.5553133514986376, 20: 0.4852941176470588, 21: 0.5797101449275363, 23: 0.5154938670109748, 24: 0.5175438596491229, 25: 1.0, 26: 0.9361702127659575, 27: 0.48, 28: 0.5033557046979866, 29: 0.5214987714987716, 30: 0.5104602510460251, 31: nan, 32: nan, 33: 0.95, 34: 0.6951111111111111, 35: 0.5, 36: 0.6956521739130435}"
