epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,1.6633171558380127,0.125409048050642,0.6721813036780409,0.5772721243914104,"{0: 0.8313253012048193, 1: 0.40638481449525454, 2: 0.602608098833219, 3: 0.3615819209039548, 4: 0.25, 6: 0.5578947368421052, 7: 1.0, 8: 0.5205992509363296, 10: 0.544839255499154, 11: 0.4668833807395368, 12: nan, 13: 0.6469038208168643, 14: 0.41414141414141414, 15: 0.52, 17: 0.7532679738562091, 18: 0.5975794251134644, 19: 0.6198142414860681, 20: 0.5335934113567403, 21: 0.5925925925925926, 23: 0.42592592592592593, 24: 0.5072463768115942, 25: 1.0, 26: 0.6666666666666666, 27: 0.7407407407407407, 28: 0.693939393939394, 29: 0.46405648267008986, 30: 0.4377416860015468, 31: 0.0, 32: 0.3488372093023256, 33: 0.95, 34: 0.6842105263157895, 35: 0.6190476190476191, 36: 0.7142857142857143}"
2,1.629105838139852,0.12126043997704983,0.715345225422978,0.5432460865160801,"{0: 0.7831325301204819, 1: 0.41932700603968937, 2: 0.6238846945778997, 3: 0.384180790960452, 4: 0.375, 6: 0.4673684210526316, 7: 0.8333333333333334, 8: 0.46441947565543074, 10: 0.5181895093062606, 11: 0.48923201950426654, 12: nan, 13: 0.6758893280632411, 14: 0.35858585858585856, 15: 0.4166666666666667, 17: 0.6993464052287581, 18: 0.56732223903177, 19: 0.5956656346749226, 20: 0.5279583875162549, 21: 0.2962962962962963, 23: 0.4176954732510288, 24: 0.41304347826086957, 25: 1.0, 26: 0.6666666666666666, 27: 0.4444444444444444, 28: 0.6848484848484848, 29: 0.4993581514762516, 30: 0.4431554524361949, 31: 0.0, 32: 0.5813953488372093, 33: 1.0, 34: 0.618421052631579, 35: 0.6904761904761905, 36: 0.42857142857142855}"
3,1.6185257355372111,0.1188700944185257,0.7335585689822742,0.5889079280909064,"{0: 0.8433734939759037, 1: 0.3882657463330457, 2: 0.5466712422786548, 3: 0.384180790960452, 4: 0.6666666666666666, 6: 0.6252631578947369, 7: 0.8333333333333334, 8: 0.6217228464419475, 10: 0.49238578680203043, 11: 0.48516863063795207, 12: nan, 13: 0.5625823451910409, 14: 0.3838383838383838, 15: 0.4866666666666667, 17: 0.7009803921568627, 18: 0.594553706505295, 19: 0.6743034055727554, 20: 0.5387949718248808, 21: 0.6666666666666666, 23: 0.4948559670781893, 24: 0.42391304347826086, 25: 1.0, 26: 0.5714285714285714, 27: 0.8518518518518519, 28: 0.593939393939394, 29: 0.5218228498074454, 30: 0.44160866202629545, 31: 0.0, 32: 0.5813953488372093, 33: 1.0, 34: 0.7021531100478469, 35: 0.40476190476190477, 36: 0.7619047619047619}"
4,1.6143022616704306,0.1176324225962162,0.7405974584955933,0.588686537233601,"{0: 0.7349397590361446, 1: 0.41501294219154444, 2: 0.5377487989018531, 3: 0.423728813559322, 4: 0.6666666666666666, 6: 0.4863157894736842, 7: 1.0, 8: 0.48314606741573035, 10: 0.5029610829103215, 11: 0.4928890694839496, 12: nan, 13: 0.6152832674571805, 14: 0.4696969696969697, 15: 0.46, 17: 0.7745098039215687, 18: 0.594553706505295, 19: 0.6693498452012384, 20: 0.5461638491547465, 21: 0.5555555555555556, 23: 0.46296296296296297, 24: 0.4692028985507246, 25: 1.0, 26: 0.5782312925170068, 27: 0.7777777777777778, 28: 0.5848484848484848, 29: 0.5353016688061617, 30: 0.4779582366589327, 31: 0.0, 32: 0.37209302325581395, 33: 0.95, 34: 0.7248803827751196, 35: 0.47619047619047616, 36: 1.0}"
5,1.602667506535848,0.11743011511862278,0.7438065706219545,0.5507433869684565,"{0: 0.7710843373493976, 1: 0.41501294219154444, 2: 0.5792724776938916, 3: 0.4124293785310734, 4: 0.375, 6: 0.5536842105263158, 7: 1.0, 8: 0.550561797752809, 10: 0.49450084602368866, 11: 0.5034538805363673, 12: nan, 13: 0.689064558629776, 14: 0.3434343434343434, 15: 0.42, 17: 0.7892156862745098, 18: 0.5431164901664145, 19: 0.58328173374613, 20: 0.576072821846554, 21: 0.25925925925925924, 23: 0.44650205761316875, 24: 0.38768115942028986, 25: 1.0, 26: 0.6258503401360545, 27: 0.5185185185185185, 28: 0.6606060606060606, 29: 0.540436456996149, 30: 0.49497293116782676, 31: 0.0, 32: 0.37209302325581395, 33: 0.95, 34: 0.6734449760765551, 35: 0.6190476190476191, 36: 0.47619047619047616}"
6,1.5888633966445922,0.1172233372926712,0.745602450264134,0.576909269991412,"{0: 0.7951807228915663, 1: 0.4072476272648835, 2: 0.5816746739876458, 3: 0.4124293785310734, 4: 0.4583333333333333, 6: 0.5852631578947368, 7: 1.0, 8: 0.5056179775280899, 10: 0.5063451776649747, 11: 0.49939049167005284, 12: nan, 13: 0.6482213438735178, 14: 0.42424242424242425, 15: 0.4266666666666667, 17: 0.7990196078431373, 18: 0.5355521936459909, 19: 0.6086687306501548, 20: 0.5804074555700043, 21: 0.37037037037037035, 23: 0.4645061728395062, 24: 0.5090579710144928, 25: 1.0, 26: 0.6190476190476191, 27: 0.6481481481481481, 28: 0.6606060606060606, 29: 0.5545571245186136, 30: 0.45784996133023975, 31: 0.0, 32: 0.37209302325581395, 33: 0.95, 34: 0.6758373205741627, 35: 0.5952380952380952, 36: 0.8095238095238095}"
7,1.5899407227834066,0.11622142232954502,0.7509462872481801,0.5859279874890593,"{0: 0.7108433734939759, 1: 0.4245038826574633, 2: 0.5480439258750858, 3: 0.4858757062146893, 4: 0.6666666666666666, 6: 0.5389473684210526, 7: 1.0, 8: 0.46441947565543074, 10: 0.47884940778341795, 11: 0.48841934173100365, 12: nan, 13: 0.6903820816864296, 14: 0.4494949494949495, 15: 0.49666666666666665, 17: 0.8088235294117647, 18: 0.540090771558245, 19: 0.6297213622291021, 20: 0.5782401387082792, 21: 0.4444444444444444, 23: 0.4835390946502058, 24: 0.46557971014492755, 25: 0.96, 26: 0.6190476190476191, 27: 0.6851851851851852, 28: 0.6121212121212121, 29: 0.5609756097560976, 30: 0.4779582366589327, 31: 0.0, 32: 0.37209302325581395, 33: 0.95, 34: 0.6901913875598086, 35: 0.5714285714285714, 36: 0.8571428571428571}"
8,1.5840874592463174,0.11684718541800976,0.7450834385681889,0.5960466054376219,"{0: 0.7831325301204819, 1: 0.4365832614322692, 2: 0.4955387783115992, 3: 0.423728813559322, 4: 0.7083333333333334, 6: 0.5894736842105263, 7: 1.0, 8: 0.5056179775280899, 10: 0.45558375634517767, 11: 0.4928890694839496, 12: nan, 13: 0.5217391304347826, 14: 0.4393939393939394, 15: 0.45666666666666667, 17: 0.7565359477124183, 18: 0.5688350983358548, 19: 0.6631578947368421, 20: 0.576072821846554, 21: 0.7283950617283951, 23: 0.5036008230452675, 24: 0.5416666666666666, 25: 1.0, 26: 0.5306122448979592, 27: 0.8518518518518519, 28: 0.6, 29: 0.5840821566110398, 30: 0.4648105181747873, 31: 0.0, 32: 0.3953488372093023, 33: 0.95, 34: 0.7165071770334929, 35: 0.38095238095238093, 36: 0.9523809523809523}"
9,1.5824697256088256,0.11665160022675991,0.7495140463738603,0.5973395851100552,"{0: 0.7349397590361446, 1: 0.4486626402070751, 2: 0.5267673301304049, 3: 0.4463276836158192, 4: 0.7083333333333334, 6: 0.5263157894736842, 7: 1.0, 8: 0.48314606741573035, 10: 0.47250423011844334, 11: 0.49167005282405524, 12: nan, 13: 0.6561264822134387, 14: 0.42424242424242425, 15: 0.51, 17: 0.8088235294117647, 18: 0.5794251134644478, 19: 0.6743034055727554, 20: 0.5769397485912441, 21: 0.5802469135802469, 23: 0.5036008230452675, 24: 0.5, 25: 0.96, 26: 0.6122448979591837, 27: 0.8148148148148148, 28: 0.6181818181818182, 29: 0.5532734274711169, 30: 0.4880123743232792, 31: 0.0, 32: 0.37209302325581395, 33: 0.95, 34: 0.7129186602870813, 35: 0.42857142857142855, 36: 0.9523809523809523}"
10,0.10923700580994287,0.11739550344645977,0.7233262699257516,0.5924267261473268,"{0: 0.6867469879518072, 1: 0.4943917169974116, 2: 0.5157858613589568, 3: 0.5141242937853108, 4: 0.6666666666666666, 6: 0.4568421052631579, 7: 1.0, 8: 0.5205992509363296, 10: 0.45642978003384094, 11: 0.5363673303535148, 12: nan, 13: 0.6903820816864296, 14: 0.4292929292929293, 15: 0.5, 17: 0.7777777777777778, 18: 0.573373676248109, 19: 0.6551083591331269, 20: 0.5617685305591678, 21: 0.5555555555555556, 23: 0.5581275720164609, 24: 0.44021739130434784, 25: 0.96, 26: 0.5850340136054422, 27: 0.8333333333333334, 28: 0.5848484848484848, 29: 0.517971758664955, 30: 0.48878576952822894, 31: 0.0, 32: 0.37209302325581395, 33: 1.0, 34: 0.7165071770334929, 35: 0.35714285714285715, 36: 0.9523809523809523}"
11,0.10449089656273523,0.11427605338394642,0.7357445338481576,0.5821050226121284,"{0: 0.6746987951807228, 1: 0.47540983606557374, 2: 0.5525051475634866, 3: 0.4915254237288136, 4: 0.6666666666666666, 6: 0.5789473684210527, 7: 0.8333333333333334, 8: 0.5617977528089888, 10: 0.4576988155668359, 11: 0.5396180414465664, 12: nan, 13: 0.6877470355731226, 14: 0.46464646464646464, 15: 0.4866666666666667, 17: 0.795751633986928, 18: 0.5340393343419062, 19: 0.6470588235294118, 20: 0.5912440398786303, 21: 0.49382716049382713, 23: 0.5313786008230452, 24: 0.411231884057971, 25: 0.96, 26: 0.564625850340136, 27: 0.6666666666666666, 28: 0.5818181818181818, 29: 0.5693196405648266, 30: 0.505800464037123, 31: 0.0, 32: 0.3488372093023256, 33: 0.95, 34: 0.6949760765550239, 35: 0.40476190476190477, 36: 0.9047619047619048}"
12,0.10616367409626642,0.1132521741092205,0.7375660334944363,0.5842232607234279,"{0: 0.6746987951807228, 1: 0.44779982743744606, 2: 0.5439258750857927, 3: 0.5254237288135594, 4: 0.6666666666666666, 6: 0.6189473684210526, 7: 0.8333333333333334, 8: 0.5468164794007491, 10: 0.4369712351945855, 11: 0.5371800081267777, 12: nan, 13: 0.6758893280632411, 14: 0.4393939393939394, 15: 0.4533333333333333, 17: 0.8137254901960784, 18: 0.5113464447806354, 19: 0.6291021671826625, 20: 0.6259211096662332, 21: 0.5308641975308642, 23: 0.5082304526748971, 24: 0.4438405797101449, 25: 0.96, 26: 0.54421768707483, 27: 0.6666666666666666, 28: 0.5636363636363636, 29: 0.5994865211810013, 30: 0.5073472544470224, 31: 0.0, 32: 0.4418604651162791, 33: 0.95, 34: 0.6889952153110048, 35: 0.40476190476190477, 36: 0.9047619047619048}"
13,0.10474397192398707,0.11233635433018208,0.7421420968072516,0.5916338466753757,"{0: 0.7228915662650602, 1: 0.4357204486626402, 2: 0.5470144131777626, 3: 0.536723163841808, 4: 0.75, 6: 0.6147368421052631, 7: 0.8333333333333334, 8: 0.5355805243445693, 10: 0.44923857868020306, 11: 0.5249898415278342, 12: nan, 13: 0.6587615283267457, 14: 0.4393939393939394, 15: 0.4533333333333333, 17: 0.8137254901960784, 18: 0.5113464447806354, 19: 0.6266253869969041, 20: 0.623320329432163, 21: 0.5308641975308642, 23: 0.5149176954732511, 24: 0.48188405797101447, 25: 1.0, 26: 0.5510204081632653, 27: 0.6851851851851852, 28: 0.593939393939394, 29: 0.6078305519897305, 30: 0.5034802784222738, 31: 0.0, 32: 0.5581395348837209, 33: 0.9, 34: 0.6901913875598086, 35: 0.3333333333333333, 36: 0.9047619047619048}"
