cancer,genetics_and_image_all_batch_cancertypebatching_exp_0_phase2_10,genetics_and_image_all_batch_cancertypebatching_exp_1_phase2_0,layer_norm_fusion_mlp_layer_norm_fusion_mlp_cancertypebatching_exp_0_phase2_10,layer_norm_fusion_mlp_layer_norm_fusion_mlp_cancertypebatching_exp_1_phase2_0,only_genetics_all_batch_cancertypebatching_exp_0_phase2_10,only_genetics_all_batch_cancertypebatching_exp_1_phase2_0,only_image_all_batch_cancertypebatching_exp_0_phase2_10,only_image_all_batch_cancertypebatching_exp_1_phase2_0
0,0.7318768619662364,0.7358490566037735,0.7423038728897716,0.7328699106256207,0.6385302879841113,0.6703078450844091,0.6802383316782522,0.685700099304866
1,0.5786708636283029,0.5792250399006916,0.5753014718921795,0.5984660400780281,0.5038792339067211,0.5513832239758822,0.5529792516403618,0.5506960453981202
2,0.5239482139837276,0.6072831131738665,0.6045961028955824,0.6133147935887558,0.5531483116931922,0.5215430579304384,0.6199101824536349,0.6274075048384975
3,0.5113511351135114,0.5333533353335334,0.5374537453745375,0.5473547354735474,0.5083508350835083,0.5023502350235024,0.5483548354835484,0.5395539553955395
4,0.6237458193979933,0.5434782608695652,0.5652173913043478,0.5986622073578596,0.4765886287625418,0.5702341137123745,0.5618729096989966,0.6003344481605352
6,0.5618005122267832,0.5626776128828544,0.5461881205487141,0.5558362277654983,0.4832824614952812,0.4503034768270006,0.5565379082903554,0.5519068168262989
7,0.5872340425531914,0.5617021276595745,0.8127659574468085,0.7702127659574468,0.7148936170212766,0.7319148936170212,0.6382978723404256,0.6297872340425532
8,0.5241495715398597,0.5786808621137367,0.5290833549727344,0.5554401454167749,0.4981822903142041,0.4726045183069333,0.4635159698779538,0.5122046221760582
10,0.4843899469519088,0.5146782950070192,0.5199085634775695,0.5253003366752388,0.5021616786552868,0.4821847862547054,0.5017579168374889,0.5081684121600636
11,0.5669250948954319,0.5649758914308326,0.5970864537687043,0.5814928260519103,0.5077601746955286,0.4935002125071446,0.5388375126405112,0.5071226532616183
12,0.6502242152466368,0.6031390134529148,0.7309417040358744,0.5852017937219731,0.5224215246636771,0.4663677130044843,0.6300448430493274,0.6053811659192825
13,0.6430446194225722,0.6859681001413285,0.6789420553200081,0.687623662426812,0.5112053301029679,0.5043408035534019,0.6490207954774884,0.6423177871996769
14,0.5704339378238342,0.6261334196891192,0.677461139896373,0.6429727979274611,0.5738341968911918,0.6400582901554405,0.5531088082901554,0.5490608808290155
15,0.5075534759358289,0.4791443850267379,0.503475935828877,0.4925133689839572,0.5529411764705883,0.546457219251337,0.4923128342245989,0.4551470588235294
17,0.6425203600514359,0.6669194500313231,0.6568630683504237,0.6700847373800652,0.6906920768901051,0.7134425797091892,0.6499719740182663,0.6545880180685153
18,0.5809265503591848,0.5793871866295265,0.5923251722621317,0.5712872012901334,0.4775326198504618,0.4787787714411377,0.567108928309632,0.5777378683477497
19,0.5013692718793049,0.5368375628620272,0.5230120661897728,0.5337338799356027,0.5327629416939138,0.5753016547443196,0.5331446780966291,0.5531111516821298
20,0.5462553772518389,0.5374021817327598,0.523101995272423,0.5559748058316571,0.564534363025062,0.5364625390906022,0.5323002158241694,0.5198939965644316
21,0.6007890961262554,0.6212338593974175,0.5763988522238164,0.5692252510760402,0.4881635581061693,0.4727403156384505,0.5659971305595409,0.5534433285509326
23,0.5497605189765975,0.5553079907845277,0.5246150115193403,0.5469413119922396,0.5482902873772281,0.5360130956711532,0.5332696738207833,0.534088153267855
24,0.5786749482401656,0.5704968944099379,0.562215320910973,0.5373706004140787,0.494927536231884,0.5007246376811594,0.5636645962732919,0.5755693581780539
25,0.5025641025641026,0.518974358974359,0.721025641025641,0.6051282051282051,0.5107692307692308,0.6102564102564103,0.5066666666666667,0.5702564102564103
26,0.5557840616966581,0.4565552699228792,0.4616966580976864,0.5922879177377892,0.4848329048843187,0.6508997429305913,0.6580976863753213,0.6910025706940874
27,0.5352547606793618,0.4971693257848688,0.6103962943901183,0.5882655687081833,0.4050437467833248,0.5259907359752959,0.5692228512609367,0.5599588265568708
28,0.6076222038111019,0.6073736536868268,0.5917978458989229,0.5912178956089478,0.4864954432477216,0.4954432477216238,0.5931234465617233,0.6012427506213753
29,0.5703898202383357,0.5509392042011715,0.5800646334073924,0.5712179357705514,0.5384568773985053,0.5145829125429207,0.5420925065643304,0.5152696424964653
30,0.5551295262287618,0.5558484507177263,0.557070622348966,0.5802439550432553,0.5113470248508232,0.4972321407174866,0.5344963933954804,0.5367969517601668
31,0.6187683284457478,0.5190615835777126,0.6217008797653959,0.4780058651026393,0.3695014662756598,0.3108504398826979,0.6041055718475073,0.5982404692082112
32,0.5088658414185346,0.6266309802609569,0.6634325861492137,0.6697892271662763,0.5066912010705922,0.3370692539310806,0.5774506523921044,0.6028772164603546
33,0.6237288135593221,0.5,0.6813559322033899,0.6237288135593221,0.3830508474576271,0.3101694915254237,0.5440677966101695,0.5474576271186441
34,0.6096825277128421,0.6574918935223588,0.5995022999773773,0.6176758917125406,0.6146972324862379,0.6110398914109042,0.6550410979564135,0.6225020737500943
35,0.5048629531388152,0.5013262599469496,0.5411140583554377,0.5402298850574713,0.5826702033598585,0.6030061892130858,0.519893899204244,0.515473032714412
36,0.5069033530571992,0.5108481262327417,0.5483234714003945,0.514792899408284,0.4324457593688363,0.5961538461538461,0.4911242603550296,0.5266272189349113
